,ID,Tweet,Classification,Target,Direction,Focus Words,Case Template
0,1,i hate women ,hateful,women,general,hate,I hate [IDENTITY_P].
1,2,i hate trans people ,hateful,trans people,general,hate,I hate [IDENTITY_P].
2,3,i hate gay people ,hateful,gay people,general,hate,I hate [IDENTITY_P].
3,4,i hate black people ,hateful,black people,general,hate,I hate [IDENTITY_P].
4,5,i hate disabled people ,hateful,disabled people,general,hate,I hate [IDENTITY_P].
5,6,i hate muslims ,hateful,Muslims,general,hate,I hate [IDENTITY_P].
6,7,i hate immigrants ,hateful,immigrants,general,hate,I hate [IDENTITY_P].
7,8,i really cant stand women like you ,hateful,women,directed,can't stand,I really can't stand [IDENTITY_P] like you.
8,9,i really cant stand trans people like you ,hateful,trans people,directed,can't stand,I really can't stand [IDENTITY_P] like you.
9,10,i really cant stand gay people like you ,hateful,gay people,directed,can't stand,I really can't stand [IDENTITY_P] like you.
10,11,i really cant stand black people like you ,hateful,black people,directed,can't stand,I really can't stand [IDENTITY_P] like you.
11,12,i really cant stand disabled people like you ,hateful,disabled people,directed,can't stand,I really can't stand [IDENTITY_P] like you.
12,13,i really cant stand muslims like you ,hateful,Muslims,directed,can't stand,I really can't stand [IDENTITY_P] like you.
13,14,i really cant stand immigrants like you ,hateful,immigrants,directed,can't stand,I really can't stand [IDENTITY_P] like you.
14,15,i despise women ,hateful,women,general,despise,I despise [IDENTITY_P].
15,16,i despise trans people ,hateful,trans people,general,despise,I despise [IDENTITY_P].
16,17,i despise gay people ,hateful,gay people,general,despise,I despise [IDENTITY_P].
17,18,i despise black people ,hateful,black people,general,despise,I despise [IDENTITY_P].
18,19,i despise disabled people ,hateful,disabled people,general,despise,I despise [IDENTITY_P].
19,20,i despise muslims ,hateful,Muslims,general,despise,I despise [IDENTITY_P].
20,21,i despise immigrants ,hateful,immigrants,general,despise,I despise [IDENTITY_P].
21,22,i detest women ,hateful,women,general,detest,I detest [IDENTITY_P].
22,23,i detest trans people ,hateful,trans people,general,detest,I detest [IDENTITY_P].
23,24,i detest gay people ,hateful,gay people,general,detest,I detest [IDENTITY_P].
24,25,i detest black people ,hateful,black people,general,detest,I detest [IDENTITY_P].
25,26,i detest disabled people ,hateful,disabled people,general,detest,I detest [IDENTITY_P].
26,27,i detest muslims ,hateful,Muslims,general,detest,I detest [IDENTITY_P].
27,28,i detest immigrants ,hateful,immigrants,general,detest,I detest [IDENTITY_P].
28,29,i absolutely loathe women ,hateful,women,general,loathe,I absolutely loathe [IDENTITY_P].
29,30,i absolutely loathe trans people ,hateful,trans people,general,loathe,I absolutely loathe [IDENTITY_P].
30,31,i absolutely loathe gay people ,hateful,gay people,general,loathe,I absolutely loathe [IDENTITY_P].
31,32,i absolutely loathe black people ,hateful,black people,general,loathe,I absolutely loathe [IDENTITY_P].
32,33,i absolutely loathe disabled people ,hateful,disabled people,general,loathe,I absolutely loathe [IDENTITY_P].
33,34,i absolutely loathe muslims ,hateful,Muslims,general,loathe,I absolutely loathe [IDENTITY_P].
34,35,i absolutely loathe immigrants ,hateful,immigrants,general,loathe,I absolutely loathe [IDENTITY_P].
35,36,disgusted by all the women around here ,hateful,women,general,disgusted by,Disgusted by all the [IDENTITY_P] around here.
36,37,disgusted by all the trans people around here ,hateful,trans people,general,disgusted by,Disgusted by all the [IDENTITY_P] around here.
37,38,disgusted by all the gay people around here ,hateful,gay people,general,disgusted by,Disgusted by all the [IDENTITY_P] around here.
38,39,disgusted by all the black people around here ,hateful,black people,general,disgusted by,Disgusted by all the [IDENTITY_P] around here.
39,40,disgusted by all the disabled people around here ,hateful,disabled people,general,disgusted by,Disgusted by all the [IDENTITY_P] around here.
40,41,disgusted by all the muslims around here ,hateful,Muslims,general,disgusted by,Disgusted by all the [IDENTITY_P] around here.
41,42,disgusted by all the immigrants around here ,hateful,immigrants,general,disgusted by,Disgusted by all the [IDENTITY_P] around here.
42,43,i have so much disdain for these women ,hateful,women,general,disdain,I have so much disdain for these [IDENTITY_P].
43,44,i have so much disdain for these trans people ,hateful,trans people,general,disdain,I have so much disdain for these [IDENTITY_P].
44,45,i have so much disdain for these gay people ,hateful,gay people,general,disdain,I have so much disdain for these [IDENTITY_P].
45,46,i have so much disdain for these black people ,hateful,black people,general,disdain,I have so much disdain for these [IDENTITY_P].
46,47,i have so much disdain for these disabled people ,hateful,disabled people,general,disdain,I have so much disdain for these [IDENTITY_P].
47,48,i have so much disdain for these muslims ,hateful,Muslims,general,disdain,I have so much disdain for these [IDENTITY_P].
48,49,i have so much disdain for these immigrants ,hateful,immigrants,general,disdain,I have so much disdain for these [IDENTITY_P].
49,50,i have so much hatred for you women ,hateful,women,directed,hatred,I have so much hatred for you [IDENTITY_P].
50,51,i have so much hatred for you trans people ,hateful,trans people,directed,hatred,I have so much hatred for you [IDENTITY_P].
51,52,i have so much hatred for you gay people ,hateful,gay people,directed,hatred,I have so much hatred for you [IDENTITY_P].
52,53,i have so much hatred for you black people ,hateful,black people,directed,hatred,I have so much hatred for you [IDENTITY_P].
53,54,i have so much hatred for you disabled people ,hateful,disabled people,directed,hatred,I have so much hatred for you [IDENTITY_P].
54,55,i have so much hatred for you muslims ,hateful,Muslims,directed,hatred,I have so much hatred for you [IDENTITY_P].
55,56,i have so much hatred for you immigrants ,hateful,immigrants,directed,hatred,I have so much hatred for you [IDENTITY_P].
56,57,so sick of being around women like you ,hateful,women,directed,sick of,So sick of being around [IDENTITY_P] like you.
57,58,so sick of being around trans people like you ,hateful,trans people,directed,sick of,So sick of being around [IDENTITY_P] like you.
58,59,so sick of being around gay people like you ,hateful,gay people,directed,sick of,So sick of being around [IDENTITY_P] like you.
59,60,so sick of being around black people like you ,hateful,black people,directed,sick of,So sick of being around [IDENTITY_P] like you.
60,61,so sick of being around disabled people like you ,hateful,disabled people,directed,sick of,So sick of being around [IDENTITY_P] like you.
61,62,so sick of being around muslims like you ,hateful,Muslims,directed,sick of,So sick of being around [IDENTITY_P] like you.
62,63,so sick of being around immigrants like you ,hateful,immigrants,directed,sick of,So sick of being around [IDENTITY_P] like you.
63,64,i feel nothing but contempt for women ,hateful,women,general,contempt,I feel nothing but contempt for [IDENTITY_P].
64,65,i feel nothing but contempt for trans people ,hateful,trans people,general,contempt,I feel nothing but contempt for [IDENTITY_P].
65,66,i feel nothing but contempt for gay people ,hateful,gay people,general,contempt,I feel nothing but contempt for [IDENTITY_P].
66,67,i feel nothing but contempt for black people ,hateful,black people,general,contempt,I feel nothing but contempt for [IDENTITY_P].
67,68,i feel nothing but contempt for disabled people ,hateful,disabled people,general,contempt,I feel nothing but contempt for [IDENTITY_P].
68,69,i feel nothing but contempt for muslims ,hateful,Muslims,general,contempt,I feel nothing but contempt for [IDENTITY_P].
69,70,i feel nothing but contempt for immigrants ,hateful,immigrants,general,contempt,I feel nothing but contempt for [IDENTITY_P].
70,71,these women disgust me so much ,hateful,women,directed,disgust me,These [IDENTITY_P] disgust me so much.
71,72,these trans people disgust me so much ,hateful,trans people,directed,disgust me,These [IDENTITY_P] disgust me so much.
72,73,these gay people disgust me so much ,hateful,gay people,directed,disgust me,These [IDENTITY_P] disgust me so much.
73,74,these black people disgust me so much ,hateful,black people,directed,disgust me,These [IDENTITY_P] disgust me so much.
74,75,these disabled people disgust me so much ,hateful,disabled people,directed,disgust me,These [IDENTITY_P] disgust me so much.
75,76,these muslims disgust me so much ,hateful,Muslims,directed,disgust me,These [IDENTITY_P] disgust me so much.
76,77,these immigrants disgust me so much ,hateful,immigrants,directed,disgust me,These [IDENTITY_P] disgust me so much.
77,78,women are the absolute worst ,hateful,women,general,worst,[IDENTITY_P] are the absolute worst.
78,79,trans people are the absolute worst ,hateful,trans people,general,worst,[IDENTITY_P] are the absolute worst.
79,80,gay people are the absolute worst ,hateful,gay people,general,worst,[IDENTITY_P] are the absolute worst.
80,81,black people are the absolute worst ,hateful,black people,general,worst,[IDENTITY_P] are the absolute worst.
81,82,disabled people are the absolute worst ,hateful,disabled people,general,worst,[IDENTITY_P] are the absolute worst.
82,83,muslims are the absolute worst ,hateful,Muslims,general,worst,[IDENTITY_P] are the absolute worst.
83,84,immigrants are the absolute worst ,hateful,immigrants,general,worst,[IDENTITY_P] are the absolute worst.
84,85,you women make me sick ,hateful,women,directed,make me sick,You [IDENTITY_P] make me sick.
85,86,you trans people make me sick ,hateful,trans people,directed,make me sick,You [IDENTITY_P] make me sick.
86,87,you gay people make me sick ,hateful,gay people,directed,make me sick,You [IDENTITY_P] make me sick.
87,88,you black people make me sick ,hateful,black people,directed,make me sick,You [IDENTITY_P] make me sick.
88,89,you disabled people make me sick ,hateful,disabled people,directed,make me sick,You [IDENTITY_P] make me sick.
89,90,you muslims make me sick ,hateful,Muslims,directed,make me sick,You [IDENTITY_P] make me sick.
90,91,you immigrants make me sick ,hateful,immigrants,directed,make me sick,You [IDENTITY_P] make me sick.
91,92,there is nothing worse than a woman ,hateful,women,general,nothing worse,There is nothing worse than a [IDENTITY_S].
92,93,there is nothing worse than a trans person ,hateful,trans people,general,nothing worse,There is nothing worse than a [IDENTITY_S].
93,94,there is nothing worse than a gay person ,hateful,gay people,general,nothing worse,There is nothing worse than a [IDENTITY_S].
94,95,there is nothing worse than a black person ,hateful,black people,general,nothing worse,There is nothing worse than a [IDENTITY_S].
95,96,there is nothing worse than a disabled person ,hateful,disabled people,general,nothing worse,There is nothing worse than a [IDENTITY_S].
96,97,there is nothing worse than a muslim ,hateful,Muslims,general,nothing worse,There is nothing worse than a [IDENTITY_S].
97,98,there is nothing worse than an immigrant ,hateful,immigrants,general,nothing worse,There is nothing worse than a [IDENTITY_S].
98,99,seeing women in this place makes me so angry ,hateful,women,general,angry,Seeing [IDENTITY_P] in this place makes me so angry.
99,100,seeing trans people in this place makes me so angry ,hateful,trans people,general,angry,Seeing [IDENTITY_P] in this place makes me so angry.
100,101,seeing gay people in this place makes me so angry ,hateful,gay people,general,angry,Seeing [IDENTITY_P] in this place makes me so angry.
101,102,seeing black people in this place makes me so angry ,hateful,black people,general,angry,Seeing [IDENTITY_P] in this place makes me so angry.
102,103,seeing disabled people in this place makes me so angry ,hateful,disabled people,general,angry,Seeing [IDENTITY_P] in this place makes me so angry.
103,104,seeing muslims in this place makes me so angry ,hateful,Muslims,general,angry,Seeing [IDENTITY_P] in this place makes me so angry.
104,105,seeing immigrants in this place makes me so angry ,hateful,immigrants,general,angry,Seeing [IDENTITY_P] in this place makes me so angry.
105,106,women who think they are my equal fill me with so much rage ,hateful,women,general,rage,[IDENTITY_P] who think they are my equal fill me with so much rage.
106,107,trans people who think they are my equal fill me with so much rage ,hateful,trans people,general,rage,[IDENTITY_P] who think they are my equal fill me with so much rage.
107,108,gay people who think they are my equal fill me with so much rage ,hateful,gay people,general,rage,[IDENTITY_P] who think they are my equal fill me with so much rage.
108,109,black people who think they are my equal fill me with so much rage ,hateful,black people,general,rage,[IDENTITY_P] who think they are my equal fill me with so much rage.
109,110,disabled people who think they are my equal fill me with so much rage ,hateful,disabled people,general,rage,[IDENTITY_P] who think they are my equal fill me with so much rage.
110,111,muslims who think they are my equal fill me with so much rage ,hateful,Muslims,general,rage,[IDENTITY_P] who think they are my equal fill me with so much rage.
111,112,immigrants who think they are my equal fill me with so much rage ,hateful,immigrants,general,rage,[IDENTITY_P] who think they are my equal fill me with so much rage.
112,113,women like you make me furious ,hateful,women,directed,furious,[IDENTITY_P] like you make me furious.
113,114,trans people like you make me furious ,hateful,trans people,directed,furious,[IDENTITY_P] like you make me furious.
114,115,gay people like you make me furious ,hateful,gay people,directed,furious,[IDENTITY_P] like you make me furious.
115,116,black people like you make me furious ,hateful,black people,directed,furious,[IDENTITY_P] like you make me furious.
116,117,disabled people like you make me furious ,hateful,disabled people,directed,furious,[IDENTITY_P] like you make me furious.
117,118,muslims like you make me furious ,hateful,Muslims,directed,furious,[IDENTITY_P] like you make me furious.
118,119,immigrants like you make me furious ,hateful,immigrants,directed,furious,[IDENTITY_P] like you make me furious.
119,120,you and all the other women in this country make me boil with anger ,hateful,women,directed,anger,You and all the other [IDENTITY_P] in this country make me boil with anger.
120,121,you and all the other trans people in this country make me boil with anger ,hateful,trans people,directed,anger,You and all the other [IDENTITY_P] in this country make me boil with anger.
